Episode: 1, Reward: -1.0, Max Position: -0.546, Epsilon: 0.99998, Q-value: -3.907650243490934e-05
Episode: 2, Reward: -200.0, Max Position: -0.425, Epsilon: 0.99598, Q-value: -0.7231187826395035
Episode: 3, Reward: -200.0, Max Position: -0.400, Epsilon: 0.99198, Q-value: -0.8770352587103843
Episode: 4, Reward: -200.0, Max Position: -0.431, Epsilon: 0.98798, Q-value: -0.8900102901458741
Episode: 5, Reward: -200.0, Max Position: -0.407, Epsilon: 0.98398, Q-value: -0.8658845713734626
Episode: 6, Reward: -200.0, Max Position: -0.393, Epsilon: 0.97998, Q-value: -1.8297913748025894
Episode: 7, Reward: -200.0, Max Position: -0.361, Epsilon: 0.97598, Q-value: -1.8902213513851165
Episode: 8, Reward: -200.0, Max Position: -0.432, Epsilon: 0.97198, Q-value: -1.853288198709488
Episode: 9, Reward: -200.0, Max Position: -0.349, Epsilon: 0.96798, Q-value: -1.7630314254760742
Episode: 10, Reward: -200.0, Max Position: -0.429, Epsilon: 0.96398, Q-value: -1.8594929438829422
Episode: 11, Reward: -200.0, Max Position: -0.376, Epsilon: 0.95998, Q-value: -2.683222220540047
Episode: 12, Reward: -200.0, Max Position: -0.410, Epsilon: 0.95598, Q-value: -2.742940065264702
Episode: 13, Reward: -200.0, Max Position: -0.411, Epsilon: 0.95198, Q-value: -2.7890482354164123
Episode: 14, Reward: -200.0, Max Position: -0.450, Epsilon: 0.94798, Q-value: -2.9250940811634063
Episode: 15, Reward: -200.0, Max Position: -0.333, Epsilon: 0.94398, Q-value: -2.7627207034942693
Episode: 16, Reward: -200.0, Max Position: -0.474, Epsilon: 0.93998, Q-value: -3.8148647224903107
Episode: 17, Reward: -200.0, Max Position: -0.468, Epsilon: 0.93598, Q-value: -3.8031317138671876
Episode: 18, Reward: -200.0, Max Position: -0.414, Epsilon: 0.93198, Q-value: -3.7932052779197694
Episode: 19, Reward: -200.0, Max Position: -0.495, Epsilon: 0.92798, Q-value: -3.8383919072151182
Episode: 20, Reward: -200.0, Max Position: -0.443, Epsilon: 0.92398, Q-value: -3.819905993938446
Episode: 21, Reward: -200.0, Max Position: -0.362, Epsilon: 0.91998, Q-value: -4.528969463258981
Episode: 22, Reward: -200.0, Max Position: -0.298, Epsilon: 0.91598, Q-value: -3.7856447273492813
Episode: 23, Reward: -200.0, Max Position: -0.430, Epsilon: 0.91198, Q-value: -4.742622981071472
Episode: 24, Reward: -200.0, Max Position: -0.432, Epsilon: 0.90798, Q-value: -4.70617288351059
Episode: 25, Reward: -200.0, Max Position: -0.342, Epsilon: 0.90398, Q-value: -4.329760860949754
Episode: 26, Reward: -200.0, Max Position: -0.440, Epsilon: 0.89998, Q-value: -5.663243157863617
Episode: 27, Reward: -200.0, Max Position: -0.354, Epsilon: 0.89598, Q-value: -5.338408523402177
Episode: 28, Reward: -200.0, Max Position: -0.479, Epsilon: 0.89198, Q-value: -5.756175210475922
Episode: 29, Reward: -200.0, Max Position: -0.333, Epsilon: 0.88798, Q-value: -5.033828520961106
Episode: 30, Reward: -200.0, Max Position: -0.472, Epsilon: 0.88398, Q-value: -5.7624156665802
Episode: 31, Reward: -200.0, Max Position: -0.307, Epsilon: 0.87998, Q-value: -4.7979276560992
Episode: 32, Reward: -200.0, Max Position: -0.302, Epsilon: 0.87598, Q-value: -5.208744468986988
Episode: 33, Reward: -200.0, Max Position: -0.425, Epsilon: 0.87198, Q-value: -6.613957242965698
Episode: 34, Reward: -200.0, Max Position: -0.451, Epsilon: 0.86798, Q-value: -6.64810694694519
